energy	num_occurrences	sample
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	835	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	12	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-2.000000	12	[0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	2	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
0.000000	1	[1 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0]
-6.000000	7	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-8.000000	4	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0]
-6.000000	3	[0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0]
-6.000000	2	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
-6.000000	1	[0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0]
-6.000000	2	[0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0]
-6.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0]
-6.000000	2	[0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1]
-6.000000	1	[0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1]
-6.000000	8	[0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0]
-6.000000	2	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1]
-6.000000	4	[1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-6.000000	6	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-4.000000	2	[0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1]
-4.000000	8	[0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0]
-2.000000	10	[0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0]
-2.000000	26	[0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0]
-4.000000	1	[0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0]
-4.000000	3	[0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0]
-2.000000	1	[1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0]
0.000000	10	[0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1]
-2.000000	2	[0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0]
-4.000000	2	[0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0]
-2.000000	3	[0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
2.000000	1	[0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0]
4.000000	8	[0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 1]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-2.000000	1	[0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0]
-4.000000	1	[0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1]
-2.000000	1	[0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0]
-2.000000	1	[1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0]
0.000000	1	[0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1]
