energy	num_occurrences	sample
-8.000000	87	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	411	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	137	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	134	[0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-6.000000	24	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-6.000000	6	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1]
-6.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	4	[0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0]
0.000000	294	[0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0]
-8.000000	2	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-2.000000	1	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 1]
-2.000000	1	[0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 1]
-2.000000	4	[1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
2.000000	1	[0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 0]
0.000000	3	[0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	7	[0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0]
4.000000	6	[0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 1]
-6.000000	8	[1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0]
4.000000	1	[1 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0]
-6.000000	29	[1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1]
-6.000000	329	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
-6.000000	2	[0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1]
-6.000000	11	[1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	1	[0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	3	[1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0]
-6.000000	26	[1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0]
-6.000000	34	[1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-4.000000	1	[0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-6.000000	1	[0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
0.000000	1	[0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0]
0.000000	2	[0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0]
-2.000000	1	[0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 0]
-6.000000	1	[1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	6	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-4.000000	1	[1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1]
-6.000000	1	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-2.000000	1	[1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0]
-4.000000	1	[0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	1	[0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0]
-6.000000	1	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-4.000000	1	[1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	1	[0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-2.000000	18	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-4.000000	105	[1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0]
-2.000000	9	[1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0]
-4.000000	3	[1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0]
-4.000000	33	[1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0]
-2.000000	2	[1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1]
6.000000	1	[0 0 1 1 1 0 0 0 0 1 0 1 1 1 0 0]
-4.000000	7	[0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0]
-2.000000	1	[1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1]
-4.000000	1	[1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0]
0.000000	2	[1 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0]
-4.000000	1	[1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
0.000000	1	[0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0]
-4.000000	1	[0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-4.000000	1	[0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0]
-4.000000	2	[1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0]
-4.000000	2	[1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0]
-2.000000	1	[1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-2.000000	90	[1 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0]
-6.000000	5	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
0.000000	6	[1 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0]
-2.000000	2	[1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0]
0.000000	1	[0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0]
