energy	num_occurrences	sample
-6.000000	2	[1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0]
-6.000000	5	[1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0]
-6.000000	1	[1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0]
-4.000000	2	[0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1]
-6.000000	1	[0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1]
-6.000000	1	[0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1]
-4.000000	5	[0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1]
-4.000000	17	[0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1]
-4.000000	3	[0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1]
-6.000000	69	[0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1]
-6.000000	1	[1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0]
-4.000000	6	[1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0]
-4.000000	11	[0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0]
-6.000000	1	[1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0]
-4.000000	3	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1]
-6.000000	10	[0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0]
-4.000000	18	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0]
-6.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	7	[0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0]
-4.000000	59	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-4.000000	9	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0]
-6.000000	3	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	887	[0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0]
-4.000000	1951	[0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0]
-6.000000	5	[0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0]
-4.000000	121	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1]
-4.000000	1	[0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1]
-4.000000	1	[1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0]
-4.000000	2	[1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0]
-6.000000	3	[0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1]
-4.000000	1	[1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0]
-6.000000	1	[1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0]
-2.000000	4	[1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0]
-4.000000	1	[1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0]
-4.000000	28	[1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0]
-4.000000	40	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	2	[1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0]
-2.000000	40	[1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0]
-4.000000	4	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
-4.000000	43	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-4.000000	3	[1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0]
-4.000000	1	[1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0]
