-8.000000	0	28	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	0	110	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	0	41	[0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	0	90	[0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0]
-6.000000	0	23	[0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	0	16	[0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0]
-6.000000	0	17	[1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	0	6	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	0	22	[0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0]
-6.000000	0	6	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
-6.000000	0	5	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0]
-6.000000	0	7	[1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	0	31	[1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0]
-6.000000	0	11	[0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	0	80	[0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0]
-6.000000	0	17	[1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0]
-6.000000	0	14	[0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0]
-6.000000	0	10	[0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0]
-6.000000	0	110	[0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0]
-6.000000	0	18	[1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	0	4	[0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	0	106	[0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0]
-6.000000	0	10	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0]
-6.000000	0	3	[0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0]
-6.000000	0	29	[0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0]
-6.000000	0	7	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1]
-6.000000	0	66	[0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0]
-6.000000	0	69	[0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0]
-6.000000	0	8	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0]
-6.000000	0	11	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
