energy	num_occurrences\cbf	sample
-8.000000	3709	0	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	95	0	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	2	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	2	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	5	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	3	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	3	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	5	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	3	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	2	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	3	0	[0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0]
-6.000000	33	0	[0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-6.000000	1	0	[0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	3	0	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
-6.000000	1	0	[0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	12	0	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0]
-6.000000	4	0	[0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0]
-3.000000	10	0.0625	[0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-3.000000	6	0.0625	[0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0]
-3.000000	2	0.0625	[0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0]
-8.000000	4	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	2	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	2	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	3	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	2	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	2	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-4.000000	2	0.0625	[0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0]
-5.000000	3	0	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0]
-5.000000	2	0	[1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-5.000000	1	0	[0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0]
-5.000000	2	0	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-5.000000	5	0	[0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0]
-5.000000	2	0	[1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0]
-5.000000	2	0	[1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-5.000000	3	0	[0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0]
-5.000000	1	0	[1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0]
-5.000000	1	0	[1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0]
-5.000000	1	0	[0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
-5.000000	1	0	[1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0]
-5.000000	2	0	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-5.000000	1	0	[1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0]
-5.000000	1	0	[0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1]
-5.000000	1	0	[1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0]
-5.000000	2	0	[0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1]
-5.000000	1	0	[0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1]
-5.000000	1	0	[0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0]
-5.000000	2	0	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1]
-5.000000	1	0	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1]
-5.000000	1	0	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-5.000000	1	0.0625	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-5.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1]
-5.000000	1	0.0625	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-3.000000	2	0.0625	[1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0]
-3.000000	4	0.0625	[0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0]
-6.000000	1	0.0625	[0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0]
-8.000000	2	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-1.000000	1	0.125	[0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0]
-4.000000	2	0	[0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0]
-4.000000	1	0	[0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1]
-4.000000	1	0	[0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1]
-4.000000	1	0.0625	[1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-4.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	0.0625	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-3.000000	1	0	[0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0]
-4.000000	1	0.0625	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0]
-3.000000	1	0.0625	[0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0]
-5.000000	1	0.0625	[1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-3.000000	1	0.125	[0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0]
-4.000000	1	0.0625	[0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0]
