energy	num_occurrences	sample
-8.000000	614	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	704	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	606	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	555	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-4.000000	16	[0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0]
-4.000000	186	[0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-6.000000	9	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	6	[0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0]
-6.000000	2	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	5	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0]
-2.000000	595	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-6.000000	7	[1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	3	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	3	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-8.000000	15	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
0.000000	6	[0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0]
-2.000000	16	[1 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0]
0.000000	159	[0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0]
-2.000000	180	[1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-6.000000	27	[0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
-2.000000	3	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-2.000000	2	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
2.000000	3	[0 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
0.000000	1	[0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	5	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-6.000000	5	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-6.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-6.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-6.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	2	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	[0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
4.000000	9	[1 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0]
4.000000	132	[1 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0]
-6.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1]
-6.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	2	[1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1]
-6.000000	2	[0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1]
-6.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	2	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-6.000000	12	[0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0]
-6.000000	1	[0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0]
-6.000000	1	[0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	3	[0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	2	[0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0]
-6.000000	1	[1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
-4.000000	1	[0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-6.000000	2	[0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1]
-6.000000	1	[1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0]
-6.000000	4	[0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0]
-6.000000	1	[0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	2	[0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0]
-6.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0]
4.000000	3	[1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0]
8.000000	5	[0 0 1 0 1 0 1 0 0 1 0 1 1 1 0 0]
-6.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-6.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-2.000000	4	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-2.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-2.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-2.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-6.000000	1	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-4.000000	5	[0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0]
-6.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-8.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0]
-4.000000	2	[0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0]
-2.000000	1	[1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
0.000000	1	[0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0]
-4.000000	1	[0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0]
-2.000000	1	[1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0]
-4.000000	2	[1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0]
12.000000	2	[1 0 1 0 1 0 1 0 0 1 0 1 1 1 0 0]
0.000000	1	[0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0]
-2.000000	1	[0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0]
-6.000000	6	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1]
-2.000000	1	[0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0]
-2.000000	2	[0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0]
-4.000000	2	[0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0]
-6.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-4.000000	1	[0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
-6.000000	1	[0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0]
2.000000	3	[0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0]
-2.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-4.000000	1	[0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0]
-2.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-8.000000	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0]
6.000000	1	[0 1 0 1 0 1 1 1 1 0 0 0 0 0 1 0]
4.000000	1	[1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0]
2.000000	1	[0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0]
2.000000	1	[1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0]
-6.000000	1	[0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0]
-2.000000	1	[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0]
-2.000000	1	[0 1 0 1 0 1 0 1 1 0 0 0 0 0 1 0]
10.000000	1	[0 0 0 1 0 1 1 1 1 0 1 0 0 0 1 0]
